agency_cd,site_no,peak_dt,peak_va,gage_ht
USGS,3171000,1878-09-15,217000,37.4
USGS,3171000,1896-04-01,52400,13
USGS,3171000,1897-02-22,67200,16
USGS,3171000,1898-09-23,37200,9.6
USGS,3171000,1899-03-05,50600,12.6
USGS,3171000,1900-03-01,34000,8.6
USGS,3171000,1901-05-22,147000,26.8
USGS,3171000,1901-12-29,111000,22.6
USGS,3171000,1903-03-23,65200,15.6
USGS,3171000,1904-03-08,18300,8
USGS,3171000,1905-07-13,79800,21.6
USGS,3171000,1906-01-23,60200,18
USGS,3171000,1907-06-13,70400,20
USGS,3171000,1908-01-12,41600,14
USGS,3171000,1909-05-21,46200,15
USGS,3171000,1910-06-14,31000,11
USGS,3171000,1911-04-06,21900,8.8
USGS,3171000,1912-03-16,30500,10.8
USGS,3171000,1913-03-27,46200,15
USGS,3171000,1914-02-21,14000,7
USGS,3171000,1914-12-05,38700,13.6
USGS,3171000,1916-07-16,200000,35.7
USGS,3171000,1917-03-05,32000,8
USGS,3171000,1918-01-29,38500,10
USGS,3171000,1918-10-26,69400,16.5
USGS,3171000,1920-04-03,19600,5
USGS,3171000,1921-02-12,24200,6
USGS,3171000,1921-11-02,31000,7.7
USGS,3171000,1923-06-13,27500,6.7
USGS,3171000,1924-01-17,42600,10.9
USGS,3171000,1924-12-09,22800,5.7
USGS,3171000,1926-01-19,37000,9.7
USGS,3171000,1926-11-16,34500,9.1
USGS,3171000,1928-08-17,55700,13.8
USGS,3171000,1929-03-01,28000,6.8
USGS,3171000,1929-10-02,76200,17.7
USGS,3171000,1931-08-23,19600,5
USGS,3171000,1932-05-02,20100,5.1
USGS,3171000,1932-10-18,34000,8.7
USGS,3171000,1934-03-28,24200,6
USGS,3171000,1934-11-29,44800,11.4
USGS,3171000,1936-02-15,38500,10
USGS,3171000,1937-01-21,32000,8
USGS,3171000,1937-10-20,47500,12
USGS,3171000,1939-02-17,15300,4
USGS,3171000,1940-08-14,218000,35.96
USGS,3171000,1940-12-29,13200,4.96
USGS,3171000,1942-05-22,31300,10.13
USGS,3171000,1942-12-31,22500,7.85
USGS,3171000,1944-02-18,32100,10.32
USGS,3171000,1945-09-18,62700,17
USGS,3171000,1946-01-08,44400,13.07
USGS,3171000,1947-01-20,34500,10.86
USGS,3171000,1948-02-14,34500,10.86
USGS,3171000,1949-08-29,40800,12.31
USGS,3171000,1949-11-02,15200,5.58
USGS,3171000,1950-12-08,62200,16.86
USGS,3171000,1952-03-11,28100,9.3
USGS,3171000,1953-02-21,34900,11
USGS,3171000,1954-03-01,48000,13.9
USGS,3171000,1955-04-15,32100,10.26
USGS,3171000,1956-04-16,33300,10.63
USGS,3171000,1957-04-06,54400,15.33
USGS,3171000,1958-05-08,19700,7.02
USGS,3171000,1958-12-29,40300,12.16
USGS,3171000,1959-10-01,71000,18.64
USGS,3171000,1961-05-12,48400,13.95
USGS,3171000,1961-12-12,39800,12.06
USGS,3171000,1963-03-13,46600,13.62
USGS,3171000,1964-03-06,24000,8.15
USGS,3171000,1965-03-27,35800,11.23
USGS,3171000,1966-02-14,55700,15.57
USGS,3171000,1967-03-08,23400,8.04
USGS,3171000,1968-03-13,22700,7.86
USGS,3171000,1968-10-20,21700,7.58
USGS,3171000,1970-08-10,31400,10.12
USGS,3171000,1971-05-14,15800,5.8
USGS,3171000,1972-06-21,80600,20.21
USGS,3171000,1973-05-28,79300,20.02
USGS,3171000,1974-04-05,41000,12.36
USGS,3171000,1975-03-15,48000,13.92
USGS,3171000,1976-06-21,49600,14.26
USGS,3171000,1977-04-05,60000,16.46
USGS,3171000,1977-11-07,108000,24.1
USGS,3171000,1979-09-22,53900,15.23
USGS,3171000,1980-04-15,41300,12.42
USGS,3171000,1981-05-29,25700,8.64
USGS,3171000,1982-02-03,40100,12.15
USGS,3171000,1983-04-10,47700,13.79
USGS,3171000,1984-02-15,39000,11.87
USGS,3171000,1985-08-18,19100,6.71
USGS,3171000,1985-11-05,46800,13.6
USGS,3171000,1987-03-01,54100,15.12
USGS,3171000,1987-11-17,11200,4.48
USGS,3171000,1989-09-23,92600,21.73
USGS,3171000,1989-11-16,38600,11.79
USGS,3171000,1991-03-30,24400,8.16
USGS,3171000,1992-06-05,74100,18.81
USGS,3171000,1993-03-24,70900,18.24
USGS,3171000,1994-08-18,59300,16.12
USGS,3171000,1995-01-15,108000,24.04
USGS,3171000,1996-01-19,79900,19.76
USGS,3171000,1996-12-02,33500,10.5
USGS,3171000,1998-04-20,43400,12.89
USGS,3171000,1999-05-15,12500,4.8
USGS,3171000,2000-04-18,13600,5.13
USGS,3171000,2001-07-30,22800,7.73
USGS,3171000,2002-03-18,32500,10.25
USGS,3171000,2003-02-23,53900,15.08
USGS,3171000,2003-11-20,80000,19.77
USGS,3171000,2005-03-29,28700,9.28
USGS,3171000,2006-06-28,34900,10.87
USGS,3171000,2006-11-16,18400,6.5
USGS,3171000,2007-10-26,21900,7.45
USGS,3171000,2009-05-08,23100,7.77
USGS,3171000,2010-01-25,40000,11.92
USGS,3171000,2011-03-06,50600,14.36
USGS,3171000,2011-12-08,31800,9.96
USGS,3171000,2013-01-31,89300,21.13
USGS,3171000,2014-02-21,22900,7.72
USGS,3171000,2015-04-20,58700,16.16
USGS,3171000,2016-02-04,33500,10.36
USGS,3171000,2017-04-24,61800,16.78
USGS,3171000,2018-09-17,59400,16.3
USGS,3171000,2018-10-12,109000,23.83
USGS,3171000,2020-05-21,93500,21.71
USGS,3171000,2020-11-12,68500,17.99